order_id,customer,region,category,sku,quantity,unit_price,discount_rate,order_date,status
SO-2026-0001,Acme Retail,North,Electronics,EL-AX100,12,899.00,0.05,2026-01-03,Shipped
SO-2026-0002,BlueLake Office,East,Office,OF-MK210,40,49.90,0.00,2026-01-05,Shipped
SO-2026-0003,CityHome Living,South,Home,HM-LM330,18,129.00,0.10,2026-01-08,Delivered
SO-2026-0004,Delta Foods,West,Electronics,EL-TB440,25,329.00,0.08,2026-01-10,Delivered
SO-2026-0005,Evergreen School,North,Office,OF-CH120,60,79.50,0.12,2026-01-12,Delivered
SO-2026-0006,Fusion Labs,East,Electronics,EL-MN880,10,1499.00,0.03,2026-01-15,Shipped
SO-2026-0007,GreenField Market,South,Home,HM-KT560,22,215.00,0.06,2026-01-18,Delivered
SO-2026-0008,Horizon Medical,West,Office,OF-DS715,14,399.00,0.00,2026-01-22,Shipped
SO-2026-0009,Inspire Studio,North,Electronics,EL-CM920,35,189.00,0.07,2026-01-25,Delivered
SO-2026-0010,Jetway Logistics,East,Home,HM-ST140,28,245.00,0.04,2026-01-28,Delivered
SO-2026-0011,Kingstar Hotel,South,Office,OF-TB610,16,520.00,0.09,2026-02-02,Shipped
SO-2026-0012,LightHouse Cafe,West,Home,HM-CF250,30,98.00,0.05,2026-02-05,Delivered
SO-2026-0013,Metro Pharmacy,North,Electronics,EL-PR310,20,670.00,0.02,2026-02-09,Shipped
SO-2026-0014,Nova Fitness,East,Home,HM-FN470,24,310.00,0.11,2026-02-14,Delivered
SO-2026-0015,Oakridge Bank,South,Office,OF-SC805,8,1290.00,0.00,2026-02-19,Delivered
